DiseaseName_ARD_Paper,MESH_ID,X,Category,Likelihood.disease.is.ageing.related,Name_node,Phenotyping_Algorithms,MESH_Term,All_MESH,All_MESH_Terms,filter_frames,Updated_Term,Search_term
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D017029,"Epilepsy, Complex Partial","r'\bcomplex partial seizures disorder\b', r'\bpsychic equivalent epilepsy\b', r'\bpsychomotor epilepsy\b', r'\bcryptogenic partial complex epilepsy\b', r'\bsymptomatic partial complex epilepsy\b', r'\bcomplex partial epilepsy\b', r'\bcomplex partial seizure disorder\b'",removed surplus,NA
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D020190,"Myoclonic Epilepsy, Juvenile","r'\badolescent myoclonic epilepsy\b', r'\bidiopathic generalized3 epilepsy\b', r'\bjuvenile myoclonic epilepsy\b', r'\bmyoclonic juvenile epilepsy\b', r'\bjanz impulsive petit mal\b', r'\bjuvenile janz syndrome myoclonic epilepsy\b', r'\bimpulsive petit mal\b', r'\bimpulsive petit mal epilepsy\b', r'\bjanz juvenile myoclonic epilepsy\b', r'\bjanz syndrome\b', r'\bjmes\b', r'\bjuvenile myoclonic epilepsy of janz\b'",removed surplus,"r'\bimpulsive petit mal\b', r'\bjanz syndrome\b', r'\bjmes\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D004827,Epilepsy,"r'\bcryptogenic epilepsies\b', r'\bawakening epilepsy\b', r'\bcryptogenic epilepsy\b', r'\baura\b', r'\bauras\b', r'\bepilepsies\b', r'\bseizure disorder\b', r'\bseizure disorders\b', r'\bepilepsy\b'","removed surplus, added 'epileptic' and 'seizures disorder(s)', removed aura (migraine)","r'\bepilepsies\b', r'\bseizure disorder\b', r'\bseizure disorders\b', r'\bepilepsy\b', r'\bepileptic\b', r'\bseizures disorder\b', r'\bseizures disorders\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D019305,"Epilepsy, Rolandic","r'\bcentralopathic epilepsies\b', r'\bcentrotemporal epilepsies\b', r'\brolandic epilepsies\b', r'\btemporal central focal epilepsies\b', r'\bbenign rolandic epilepsy\b', r'\bcentralopathic epilepsy\b', r'\bcentrotemporal epilepsy\b', r'\brolands epilepsy\b', r'\bsylvian epilepsy\b', r'\btemporal central focal epilepsy\b', r'\brolandic epilepsy\b', r'\bbenign childhood epilepsy with centro temporal spikes\b', r'\bbenign epilepsy of childhood with centrotemporal spikes\b', r'\bbenign epilepsy with centrotemporal spikes\b', r'\bbenign rolandic epilepsy of childhood\b'",removed surplus,NA
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D000073376,Epileptic Syndromes,"r'\bfamilial epilepsies\b', r'\bsyndromic epilepsies\b', r'\bfamilial epilepsy\b', r'\bsyndromic epilepsy\b', r'\bepilepsy syndrome\b', r'\bepilepsy syndromes\b', r'\bepileptic syndrome\b', r'\bepileptic syndromes\b'","removed surplus, added 'epileptic' and 'seizures disorder(s)', removed aura (migraine)",NA
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D017034,"Epilepsy, Frontal Lobe","r'\banterior fronto polar epilepsies\b', r'\bcingulate epilepsies\b', r'\borbito frontal epilepsies\b', r'\bsupplementary motor epilepsies\b', r'\banterior fronto polar epilepsy\b', r'\bcingulate epilepsy\b', r'\bopercular epilepsy\b', r'\borbito frontal epilepsy\b', r'\bsupplementary motor epilepsy\b', r'\bfrontal lobe epilepsy\b', r'\bbenign frontal childhood epilepsy\b', r'\bchildhood benign frontal epilepsy\b', r'\bfrontal lobe epilepsies\b', r'\bopercular epilepsies\b'",removed surplus,NA
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D004831,"Epilepsies, Myoclonic","r'\bmyoclonic astatic epilepsies\b', r'\bmyoclonic astatic epilepsy\b', r'\bmyoclonic early childhood epilepsy\b', r'\bmyoclonic epilepsy early childhood\b', r'\bmyoclonic encephalopathies\b', r'\bmyoclonic encephalopathy\b', r'\bcryptogenic myoclonic epilepsies\b', r'\bidiopathic myoclonic epilepsies\b', r'\binfantile myoclonic epilepsies\b', r'\bmyoclonic absence epilepsies\b', r'\bsymptomatic myoclonic epilepsies\b', r'\bcryptogenic myoclonic epilepsy\b', r'\bidiopathic myoclonic epilepsy\b', r'\binfantile myoclonic epilepsy\b', r'\bmyoclonic epilepsy\b', r'\bmyoclonic absence epilepsy\b', r'\bmyoclonus epilepsy\b', r'\bsymptomatic myoclonic epilepsy\b', r'\bbenign infantile myoclonic epilepsy\b', r'\bearly childhood myoclonic epilepsy\b', r'\bsevere infantile myoclonic epilepsy\b', r'\bmyoclonic seizure disorder\b', r'\bmyoclonic seizure disorders\b', r'\binfantile severe myoclonic epilepsy\b', r'\bmyoclonic epilepsies\b', r'\bdoose syndrome\b', r'\bdravet syndrome\b', r'\bdravet syndromes\b', r'\bmyoclonus epilepsies\b', r'\bsevere myoclonic epilepsy of infancy\b'",removed surplus,"r'\bmyoclonic encephalopathies\b', r'\bmyoclonic encephalopathy\b', r'\bdoose syndrome\b', r'\bdravet syndrome\b', r'\bdravet syndromes\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D004832,"Epilepsy, Absence","r'\bchildhood absence epilepsy\b', r'\bjuvenile absence epilepsy\b', r'\bidiopathic generalized epilepsy\b', r'\bminor epilepsy\b', r'\bpetit mal epilepsy\b', r'\bakinetic petit mal\b', r'\babsence seizure disorder\b', r'\babsence seizure disorders\b', r'\babsence epilepsy\b', r'\bepilepsy juvenile absence\b', r'\bpykno epilepsy\b', r'\bpyknolepsies\b', r'\bpyknolepsy\b'",removed surplus,"r'\bakinetic petit mal\b', r'\bepilepsy juvenile absence\b', r'\bpyknolepsies\b', r'\bpyknolepsy\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D020938,"Epilepsy, Partial, Motor","r'\bfocal clonic seizures\b', r'\bfocal motor epilepsy\b', r'\bhemimotor epilepsy\b', r'\bmotor partial epilepsy\b', r'\bmotor partial seizure disorder\b', r'\bhemimotor seizure disorder\b', r'\bmotor seizure disorder\b', r'\bhemimotor seizure disorders\b', r'\bmotor seizure disorders\b', r'\bfocal clonic seizure\b', r'\bversive seizures\b', r'\bversive seizure\b', r'\bfocal tonic seizure\b', r'\bfocal tonic seizures\b', r'\bhemimotor epilepsies\b'",removed surplus,"r'\bfocal clonic seizures\b', r'\bfocal clonic seizure\b', r'\bversive seizures\b', r'\bversive seizure\b', r'\bfocal tonic seizure\b', r'\bfocal tonic seizures\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D004833,"Epilepsy, Temporal Lobe","r'\bchildhood benign psychomotor epilepsy\b', r'\blateral temporal epilepsies\b', r'\btemporal lobe epilepsies\b', r'\buncinate epilepsies\b', r'\blateral temporal epilepsy\b', r'\buncinate epilepsy\b', r'\btemporal lobe epilepsy\b'",removed surplus,NA
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D000069279,Drug Resistant Epilepsy,"r'\bdrug refractory epilepsies\b', r'\bdrug resistant epilepsies\b', r'\bintractable epilepsies\b', r'\bmedication resistant epilepsies\b', r'\brefractory epilepsies\b', r'\bdrug refractory epilepsy\b', r'\bdrug resistant epilepsy\b', r'\bintractable epilepsy\b', r'\bmedication resistant epilepsy\b', r'\brefractory epilepsy\b'","removed surplus, added 'epileptic' and 'seizures disorder(s)', removed aura (migraine)",NA
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D020195,"Epilepsy, Reflex","r'\baudiogenic reflex epilepsies\b', r'\bcursive epilepsies\b', r'\beating induced epilepsies\b', r'\beating induced reflex epilepsies\b', r'\bimmersion related epilepsies\b', r'\bmusicogenic epilepsies\b', r'\bmusicogenic reflex epilepsies\b', r'\bphotosensitive epilepsies\b', r'\bphotosensitive reflex epilepsies\b', r'\breading epilepsies\b', r'\breading reflex epilepsies\b', r'\breflex epilepsies\b', r'\btactile reflex epilepsies\b', r'\bwriting induced reflex epilepsies\b', r'\baudiogenic epilepsy\b', r'\baudiogenic reflex epilepsy\b', r'\bcursive epilepsy\b', r'\bcursive reflex epilepsy\b', r'\beating induced epilepsy\b', r'\beating induced reflex epilepsy\b', r'\bimmersion related epilepsy\b', r'\bmusicogenic epilepsy\b', r'\bmusicogenic reflex epilepsy\b', r'\bphotogenic epilepsy\b', r'\bphotosensitive epilepsy\b', r'\bphotosensitive reflex epilepsy\b', r'\breading epilepsy\b', r'\breading reflex epilepsy\b', r'\btactile reflex epilepsy\b', r'\bwriting induced reflex epilepsy\b', r'\bcursive reflex epilepsies\b', r'\bvisual pattern reflex epilepsy\b', r'\breflex epilepsy\b', r'\baudiogenic epilepsies\b', r'\bdecision making reflex epilepsy\b'",removed surplus,NA
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D020937,"Epilepsy, Partial, Sensory","r'\bsensory epilepsy\b', r'\bsensory partial epilepsy\b', r'\bsensory focal seizure disorder\b', r'\bgustatory partial seizure\b', r'\bolfactory partial seizure\b', r'\bgustatory partial seizures\b', r'\bolfactory partial seizures\b', r'\bvertiginous partial seizures\b', r'\bvisual partial seizures\b', r'\bvertiginous partial seizure\b', r'\bvisual partial seizure\b', r'\bsensory seizure disorder\b', r'\bsensory seizure disorders\b', r'\bfocal sensory seizure\b', r'\bpartial sensory seizure\b', r'\bfocal sensory seizures\b', r'\bpartial sensory seizures\b', r'\bspecial sensory symptoms simple partial seizures\b', r'\bsensory partial seizure disorder\b'",removed surplus,"r'\bgustatory partial seizure\b', r'\bolfactory partial seizure\b', r'\bgustatory partial seizures\b', r'\bolfactory partial seizures\b', r'\bvertiginous partial seizures\b', r'\bvisual partial seizures\b', r'\bvertiginous partial seizure\b', r'\bvisual partial seizure\b', r'\bsensory seizure disorder\b', r'\bsensory seizure disorders\b', r'\bfocal sensory seizure\b', r'\bpartial sensory seizure\b', r'\bfocal sensory seizures\b', r'\bpartial sensory seizures\b', r'\bspecial sensory symptoms simple partial seizures\b', r'\bsensory partial seizure disorder\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D004828,"Epilepsies, Partial","r'\bchildhood benign focal epilepsy\b', r'\bchildhood benign occipital epilepsy\b', r'\bfocal seizure disorders\b', r'\bpartial seizure disorders\b', r'\babdominal epilepsies\b', r'\bamygdalo hippocampal epilepsies\b', r'\bbenign occipital epilepsies\b', r'\bdigestive epilepsies\b', r'\bfocal epilepsies\b', r'\bgelastic epilepsies\b', r'\blocalization related epilepsies\b', r'\boccipital lobe epilepsies\b', r'\brhinencephalic epilepsies\b', r'\bsimple partial epilepsies\b', r'\babdominal epilepsy\b', r'\bbenign occipital epilepsy\b', r'\bfocal epilepsy\b', r'\blocalization related epilepsy\b', r'\bpartial epilepsy\b', r'\bsimple partial epilepsy\b', r'\boccipital lobe epilepsy\b', r'\bsimple partial seizures\b', r'\bfocal seizure disorder\b', r'\bpartial seizure disorder\b', r'\bsubclinical seizures\b', r'\bsubclinical seizure\b', r'\buncinate seizures\b', r'\buncinate seizure\b', r'\bpartial epilepsies\b', r'\bamygdalo hippocampal epilepsy\b', r'\bdigestive epilepsy\b', r'\bgelastic epilepsy\b', r'\bpanayiotopoulos syndrome\b', r'\brhinencephalic epilepsy\b'","removed surplus, added 'epileptic', removed aura (migraine)","r'\bsimple partial seizures\b', r'\bsubclinical seizures\b', r'\bsubclinical seizure\b', r'\buncinate seizures\b', r'\buncinate seizure\b', r'\bpanayiotopoulos syndrome\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D004830,"Epilepsy, Tonic-Clonic","r'\btonic clonic convulsion disorders\b', r'\btonic clonic convulsion disorder\b', r'\bgrand mal convulsion\b', r'\bgrand mal convulsions\b', r'\btonic clonic convulsions\b', r'\btonic clonic convulsion syndromes\b', r'\btonic clonic convulsion syndrome\b', r'\btonic clonic convulsion\b', r'\btonic clonic seizure disorders\b', r'\btonic clonic seizure disorder\b', r'\bcryptogenic tonic clonic epilepsies\b', r'\bfamilial tonic clonic epilepsies\b', r'\bsymptomatic tonic clonic epilepsies\b', r'\btonic clonic epilepsies\b', r'\bcryptogenic tonic clonic epilepsy\b', r'\bfamilial tonic clonic epilepsy\b', r'\bgrand mal epilepsy\b', r'\bmajor epilepsy\b', r'\bsymptomatic tonic clonic epilepsy\b', r'\btonic clonic epilepsy\b', r'\bgrand mal seizure disorder\b', r'\bmajor motor seizure disorder\b', r'\btonic clonic seizure syndromes\b', r'\btonic clonic seizure syndrome\b', r'\bmajor epilepsies\b'",removed surplus,"r'\bgrand mal convulsion\b', r'\bgrand mal convulsions\b', r'\btonic clonic convulsions\b', r'\btonic clonic convulsion\b', r'\btonic clonic seizure disorders\b', r'\btonic clonic seizure disorder\b', r'\btonic clonic epilepsies\b', r'\bgrand mal epilepsy\b', r'\bmajor epilepsy\b', r'\btonic clonic epilepsy\b', r'\btonic clonic seizure syndromes\b', r'\btonic clonic seizure syndrome\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D020191,"Myoclonic Epilepsies, Progressive","r'\bdentatorubral pallidoluysian atrophies\b', r'\bdentatorubral pallidoluysian atrophy\b', r'\bbiotin responsive encephalopathies\b', r'\bbiotin responsive encephalopathy\b', r'\bprogressive myoclonic epilepsies\b', r'\bprogressive myoclonus epilepsies\b', r'\bprogressive myoclonic epilepsy\b', r'\bprogressive myoclonic 7 epilepsy\b', r'\bprogressive myoclonus epilepsy\b', r'\bchildhood onset epileptic encephalopathy\b', r'\batypical inclusion body disease\b', r'\batypical inclusion body diseases\b', r'\bhaw river syndromes\b', r'\bmyoclonus nephropathy syndromes\b', r'\baction myoclonus renal failure syndrome\b', r'\bfamilial progressive myoclonic epilepsy\b', r'\bhaw river syndrome\b', r'\bmay white syndrome\b', r'\bmyoclonic epilepsy with choreoathetosis\b', r'\bmyoclonus nephropathy syndrome\b', r'\bnaito oyanagi disease\b', r'\bnaito oyanagi diseases\b'",removed surplus,"r'\bdentatorubral pallidoluysian atrophies\b', r'\bdentatorubral pallidoluysian atrophy\b', r'\bbiotin responsive encephalopathies\b', r'\bbiotin responsive encephalopathy\b', r'\batypical inclusion body disease\b', r'\batypical inclusion body diseases\b', r'\bhaw river syndromes\b', r'\bmyoclonus nephropathy syndromes\b', r'\baction myoclonus renal failure syndrome\b', r'\bhaw river syndrome\b', r'\bmay white syndrome\b', r'\bmyoclonus nephropathy syndrome\b', r'\bnaito oyanagi disease\b', r'\bnaito oyanagi diseases\b'"
Epilepsy,MESH:D004827,Epilepsy,Neurological,High,epilepsy,Epilepsy,Epilepsy,MESH:D004829,"Epilepsy, Generalized","r'\bgeneralized convulsive epilepsies\b', r'\bgeneralized convulsive epilepsy\b', r'\bgeneralized convulsive seizure disorder\b', r'\bakinetic epilepsies\b', r'\batonic epilepsies\b', r'\bgeneralized epilepsies\b', r'\btonic epilepsies\b', r'\bakinetic epilepsy\b', r'\batonic epilepsy\b', r'\bgeneralized nonconvulsive epilepsy\b', r'\bsymptomatic generalized epilepsy\b', r'\btonic epilepsy\b', r'\bconvulsive generalized seizure disorder\b', r'\bnonconvulsive generalized seizure disorder\b', r'\bgeneralized nonconvulsive seizure disorder\b', r'\bgeneralized seizure disorder\b', r'\bgeneralized onset seizure disorder\b', r'\bgeneralized seizure disorders\b', r'\bgeneralized epilepsy\b'",removed surplus,NA
Essential Tremor,MESH:D020329,Essential_Tremor,Neurological,High,essential_tremor,Essential Tremor,Essential Tremor,MESH:D020329,Essential Tremor,"r'\bbenign essential tremor\b', r'\bbenign essential tremors\b', r'\bessential tremor\b', r'\bfamilial tremor\b', r'\bessential tremors\b', r'\bfamilial tremors\b', r'\bhereditary essential tremor\b'",removed surplus,"r'\bessential tremor\b', r'\bfamilial tremor\b', r'\bessential tremors\b', r'\bfamilial tremors\b'"
Fatty Liver,MESH:D005234,Fatty_Liver,Digestive,High,fatty_liver,Fatty Liver,Fatty Liver,MESH:D005234,Fatty Liver,"r'\bfatty liver\b', r'\bliver steatoses\b', r'\bvisceral steatoses\b', r'\bliver steatosis\b', r'\bvisceral steatosis\b', r'\bsteatohepatitides\b', r'\bsteatohepatitis\b', r'\bsteatosis of liver\b'",added r'\bfatty livers\b',"r'\bfatty liver\b', r'\bliver steatoses\b', r'\bvisceral steatoses\b', r'\bliver steatosis\b', r'\bvisceral steatosis\b', r'\bsteatohepatitides\b', r'\bsteatohepatitis\b', r'\bsteatosis of liver\b', r'\bfatty livers\b'"
Fatty Liver,MESH:D005234,Fatty_Liver,Digestive,High,fatty_liver,Fatty Liver,Fatty Liver,MESH:D065626,Non-alcoholic Fatty Liver Disease,"r'\bnonalcoholic fatty liver disease\b', r'\bnonalcoholic fatty liver\b', r'\bnonalcoholic fatty livers\b', r'\bnonalcoholic steatohepatitides\b', r'\bnonalcoholic steatohepatitis\b', r'\bnon alcoholic fatty liver disease\b'",removed surplus,NA
Fibromatosis,MESH:D005350,Fibromatosis,Musculoskeletal,High,fibromatosis,Fibromatoses,Fibroma,MESH:D005350,Fibroma,"r'\bfibromas\b', r'\bfibromatoses\b', r'\bfibromatosis\b', r'\bfibromyxoma\b', r'\bfibromyxomas\b', r'\bmyxofibroma\b', r'\bmyxofibromas\b', r'\bfibroma\b'",NA,"r'\bfibromas\b', r'\bfibromatoses\b', r'\bfibromatosis\b', r'\bfibromyxoma\b', r'\bfibromyxomas\b', r'\bmyxofibroma\b', r'\bmyxofibromas\b', r'\bfibroma\b'"
Fibromatosis,MESH:D005350,Fibromatosis,Musculoskeletal,High,fibromatosis,Fibromatoses,Fibroma,MESH:D004387,Dupuytren Contracture,"r'\bdupuytren contracture\b', r'\bdupuytrens contracture\b', r'\bpalmar fibromatosis\b', r'\bfamilial plantar fibromatosis\b', r'\bdupuytren contracture 1\b', r'\bdupuytren disease\b', r'\bdupuytrens disease\b', r'\bplantar fibromas\b'",NA,"r'\bdupuytren contracture\b', r'\bdupuytrens contracture\b', r'\bpalmar fibromatosis\b', r'\bfamilial plantar fibromatosis\b', r'\bdupuytren contracture 1\b', r'\bdupuytren disease\b', r'\bdupuytrens disease\b', r'\bplantar fibromas\b'"
Fibromatosis,MESH:D005350,Fibromatosis,Musculoskeletal,High,fibromatosis,Fibromatoses,Fibroma,MESH:D018214,"Fibroma, Ossifying","r'\bossifying fibromas\b', r'\bossifying fibroma\b'",removed surplus,NA
Fibromatosis,MESH:D005350,Fibromatosis,Musculoskeletal,High,fibromatosis,Fibromatoses,Fibroma,MESH:D018220,"Fibroma, Desmoplastic","r'\bdesmoplastic fibroblastoma\b', r'\bcollagenous fibroma\b', r'\bdesmoplastic fibroma\b', r'\bcollagenous fibromas\b', r'\bdesmoplastic fibroblastomas\b', r'\bdesmoplastic fibromas\b'",NA,"r'\bdesmoplastic fibroblastoma\b', r'\bdesmoplastic fibroblastomas\b'"
Fibromatosis,MESH:D005350,Fibromatosis,Musculoskeletal,High,fibromatosis,Fibromatoses,Fibroma,MESH:D018221,"Fibromatosis, Abdominal","r'\babdominal fibromatoses\b', r'\babdominal fibromatosis\b'",removed surplus,NA
Fibromatosis,MESH:D005350,Fibromatosis,Musculoskeletal,High,fibromatosis,Fibromatoses,Fibroma,MESH:D000071380,"Fibromatosis, Plantar","r'\bplantar fibromatosis\b', r'\bledderhose disease\b', r'\bledderhoses disease\b'",NA,"r'\bplantar fibromatosis\b', r'\bledderhose disease\b', r'\bledderhoses disease\b'"
Fibromatosis,MESH:D005350,Fibromatosis,Musculoskeletal,High,fibromatosis,Fibromatoses,Fibroma,MESH:D018222,"Fibromatosis, Aggressive","r'\baggressive fibromatoses\b', r'\baggressive fibromatosis\b', r'\bdesmoid\b', r'\bdesmoids\b'",NA,"r'\bdesmoid\b', r'\bdesmoids\b'"
Folate Deficiency Anaemia,UMLS:C0472730,Folate_Deficiency_Anaemia,Haematological/ Immuunoligcal,High,foldef,Folate deficiency anaemia,Folate deficiency anaemia due to malabsorption,UMLS:C0472730,Folate deficiency anaemia due to malabsorption,NA,NA,"r'\bfolate deficiency anaemia\b', r'\bfolate deficiency anemia\b', r'\bfolic acid deficiency anemia\b', r'\bfolic acid deficiency anaemia\b', r'\banaemia due to folate deficiency\b', r'\banemia due to folate deficiency\b', r'\bfolate deficient megaloblastic anaemia\b', r'\bfolate deficient megaloblastic anemia\b', r'\bfolic acid deficiency megaloblastic anaemia\b', r'\bfolic acid deficiency megaloblastic anemia\b'"
"Fracture, Hip",MESH:D006620,Fracture_Hip,Musculoskeletal,High,frac_hip,Fracture - hip,Hip Fractures,MESH:D005265,Femoral Neck Fractures,"r'\bfemoral neck fracture\b', r'\bfemur neck fracture\b', r'\bfemur neck fractures\b', r'\bfemoral neck fractures\b'",NA,"r'\bfemoral neck fracture\b', r'\bfemur neck fracture\b', r'\bfemur neck fractures\b', r'\bfemoral neck fractures\b'"
"Fracture, Hip",MESH:D006620,Fracture_Hip,Musculoskeletal,High,frac_hip,Fracture - hip,Hip Fractures,MESH:D006620,Hip Fractures,"r'\bhip fractures\b', r'\bintertrochanteric fractures\b', r'\bsubtrochanteric fractures\b', r'\btrochanteric fractures\b'",added singular,"r'\bhip fractures\b', r'\bintertrochanteric fractures\b', r'\bsubtrochanteric fractures\b', r'\btrochanteric fractures\b', r'\bintertrochanteric fracture\b', r'\bsubtrochanteric fracture\b', r'\btrochanteric fracture\b', r'\bhip fracture\b', r'\bfracture of the hip\b'"
"Fracture, Wrist",MESH:D011885,Fracture_Wrist,Musculoskeletal,High,frac_wrist,Fracture - wrist,Radius Fractures,MESH:D014458,Ulna Fractures,"r'\bulna fractures\b', r'\bulna fracture\b'",NA,"r'\bulna fractures\b', r'\bulna fracture\b'"
"Fracture, Wrist",MESH:D014458,Fracture_Wrist,Musculoskeletal,High,frac_wrist,Fracture - wrist,Ulna Fractures,MESH:D011885,Radius Fractures,"r'\bradius fracture\b', r'\bradius fractures\b'",NA,"r'\bradius fracture\b', r'\bradius fractures\b'"
"Fracture, Wrist",MESH:D011885,Fracture_Wrist,Musculoskeletal,High,frac_wrist,Fracture - wrist,Radius Fractures,UMLS:C4553927,Wrist Fracture,NA,Updated terms,"r'\bfractured wrist\b', r'\bwrist fracture\b', r'\bfracture of the wrist\b', r'\bwrist fractures\b'"
"Fracture, Wrist",MESH:D014458,Fracture_Wrist,Musculoskeletal,High,frac_wrist,Fracture - wrist,Ulna Fractures,MESH:D003100,Colles' Fracture,r'\bcolles fracture\b',NA,r'\bcolles fracture\b'
Fungal Infection,MESH:D009181,Fungal_Infection,Infections,High,id_mycoses,Fungal Infection,Mycoses,MESH:D016469,Fungemia,"r'\bfungemias\b', r'\bfungemia\b'",Added english spelling,"r'\bfungemias\b', r'\bfungemia\b', r'\bfungaemias\b', r'\bfungaemia\b'"
Fungal Infection,MESH:D009181,Fungal_Infection,Infections,High,id_mycoses,Fungal Infection,Mycoses,MESH:D009181,Mycoses,"r'\bfungal disease\b', r'\bfungus disease\b', r'\bfungal diseases\b', r'\bfungus diseases\b', r'\bfungal infection\b', r'\bfungus infection\b', r'\bfungal infections\b', r'\bfungus infections\b', r'\bmycoses\b'",NA,"r'\bfungal disease\b', r'\bfungus disease\b', r'\bfungal diseases\b', r'\bfungus diseases\b', r'\bfungal infection\b', r'\bfungus infection\b', r'\bfungal infections\b', r'\bfungus infections\b', r'\bmycoses\b'"
Gastritis,MESH:D005756,Gastritis,Digestive,High,gastritis,Gastritis,Gastritis,MESH:D005756,Gastritis,"r'\bgastritides\b', r'\bgastritis\b'",NA,"r'\bgastritides\b', r'\bgastritis\b'"
Gastritis,MESH:D005756,Gastritis,Digestive,High,gastritis,Gastritis,Gastritis,MESH:D005758,"Gastritis, Hypertrophic","r'\bmenetrier disease\b', r'\bmenetriers disease\b', r'\bfamilial giant hypertrophic gastritis\b', r'\bgiant hypertrophic gastritis\b', r'\bhypertrophic gastritis\b'",removed surplus,"r'\bmenetrier disease\b', r'\bmenetriers disease\b'"
Gastritis,MESH:D005756,Gastritis,Digestive,High,gastritis,Gastritis,Gastritis,MESH:D005757,"Gastritis, Atrophic","r'\batrophic gastritides\b', r'\batrophic gastritis\b'",removed surplus,NA
Gastro-oesophageal Reflux Disease,MESH:D005764,Gastro_oesophageal_Reflux_Disease,Digestive,High,gord,Gastro-oesophageal reflux disease,Gastroesophageal Reflux,MESH:D005764,Gastroesophageal Reflux,"r'\bgastric acid reflux\b', r'\bpediatric gastroesophageal reflux\b', r'\bgastroesophageal reflux\b', r'\bgastro esophageal reflux\b', r'\bgastro oesophageal reflux\b', r'\besophageal reflux\b', r'\bgastric acid reflux disease\b', r'\bgastroesophageal reflux disease\b'","added english spelling of oesophageal reflux, removed surplus","r'\bgastric acid reflux\b', r'\bgastroesophageal reflux\b', r'\bgastro esophageal reflux\b', r'\bgastro oesophageal reflux\b', r'\besophageal reflux\b', r'\bgastric acid reflux disease\b', r'\bgastrooesophageal reflux\b', r'\boesophageal reflux\b'"
Gastro-oesophageal Reflux Disease,MESH:D005764,Gastro_oesophageal_Reflux_Disease,Digestive,High,gord,Gastro-oesophageal reflux disease,Gastroesophageal Reflux,MESH:D057045,Laryngopharyngeal Reflux,"r'\bsupraesophageal gastric reflux\b', r'\blaryngopharyngeal reflux\b', r'\bgastric regurgitation\b'",Added english spelling,"r'\bsupraesophageal gastric reflux\b', r'\blaryngopharyngeal reflux\b', r'\bgastric regurgitation\b', r'\bsupraoesophageal gastric reflux\b'"
Giant Cell Arteritis,MESH:D013700,Giant_Cell_Arteritis,Musculoskeletal,High,gca,Giant Cell arteritis,Giant Cell Arteritis,MESH:D013700,Giant Cell Arteritis,"r'\bgiant cell aortic arteritis\b', r'\bgiant cell aortitides\b', r'\bgiant cell aortitis\b', r'\bcranial arteritides\b', r'\bgiant cell arteritides\b', r'\bjuvenile temporal arteritides\b', r'\btemporal arteritides\b', r'\bcranial arteritis\b', r'\bgiant cell arteritis\b', r'\bjuvenile temporal arteritis\b', r'\btemporal arteritis\b', r'\bhortons giant cell aortitis\b', r'\bhorton giant cell arteritis\b', r'\bhorton disease\b', r'\bhortons disease\b', r'\bhortons giant cell arteritis\b'",remove surplus,"r'\bgiant cell aortic arteritis\b', r'\bgiant cell aortitides\b', r'\bgiant cell aortitis\b', r'\bcranial arteritides\b', r'\bgiant cell arteritides\b', r'\bjuvenile temporal arteritides\b', r'\btemporal arteritides\b', r'\bcranial arteritis\b', r'\bgiant cell arteritis\b', r'\btemporal arteritis\b', r'\bhortons giant cell aortitis\b', r'\bhorton disease\b', r'\bhortons disease\b'"
Glaucoma,MESH:D005901,Glaucoma,Eye,High,glaucoma,Glaucoma,Glaucoma,MESH:D015812,"Glaucoma, Angle-Closure","r'\bangle closure glaucoma\b', r'\bclosed angle glaucoma\b', r'\bnarrow angle glaucoma\b', r'\bangle closure glaucomas\b', r'\bclosed angle glaucomas\b', r'\bnarrow angle glaucomas\b', r'\buncompensated glaucomas\b', r'\buncompensative glaucomas\b', r'\buncompensated glaucoma\b', r'\buncompensative glaucoma\b'",removed surplus,NA
