"","All_MESH","filter_frames","DiseaseName_ARD_Paper","MESH_ID","Category","Likelihood.disease.is.ageing.related","Name_node","Phenotyping_Algorithms","MESH_Term","All_MESH_Terms"
"477","MESH:D020195","r'\baudiogenic reflex epilepsies\b', r'\bcursive epilepsies\b', r'\beating induced epilepsies\b', r'\beating induced reflex epilepsies\b', r'\bimmersion related epilepsies\b', r'\bmusicogenic epilepsies\b', r'\bmusicogenic reflex epilepsies\b', r'\bphotosensitive epilepsies\b', r'\bphotosensitive reflex epilepsies\b', r'\breading epilepsies\b', r'\breading reflex epilepsies\b', r'\breflex epilepsies\b', r'\btactile reflex epilepsies\b', r'\bwriting induced reflex epilepsies\b', r'\baudiogenic epilepsy\b', r'\baudiogenic reflex epilepsy\b', r'\bcursive epilepsy\b', r'\bcursive reflex epilepsy\b', r'\beating induced epilepsy\b', r'\beating induced reflex epilepsy\b', r'\bimmersion related epilepsy\b', r'\bmusicogenic epilepsy\b', r'\bmusicogenic reflex epilepsy\b', r'\bphotogenic epilepsy\b', r'\bphotosensitive epilepsy\b', r'\bphotosensitive reflex epilepsy\b', r'\breading epilepsy\b', r'\breading reflex epilepsy\b', r'\btactile reflex epilepsy\b', r'\bwriting induced reflex epilepsy\b', r'\bcursive reflex epilepsies\b', r'\bvisual pattern reflex epilepsy\b', r'\breflex epilepsy\b', r'\baudiogenic epilepsies\b', r'\bdecision making reflex epilepsy\b'","Epilepsy","MESH:D004827","Neurological","High","epilepsy","Epilepsy","Epilepsy","Epilepsy, Reflex"
"497","MESH:D020937","r'\bsensory epilepsy\b', r'\bsensory partial epilepsy\b', r'\bsensory focal seizure disorder\b', r'\bgustatory partial seizure\b', r'\bolfactory partial seizure\b', r'\bgustatory partial seizures\b', r'\bolfactory partial seizures\b', r'\bvertiginous partial seizures\b', r'\bvisual partial seizures\b', r'\bvertiginous partial seizure\b', r'\bvisual partial seizure\b', r'\bsensory seizure disorder\b', r'\bsensory seizure disorders\b', r'\bfocal sensory seizure\b', r'\bpartial sensory seizure\b', r'\bfocal sensory seizures\b', r'\bpartial sensory seizures\b', r'\bspecial sensory symptoms simple partial seizures\b', r'\bsensory partial seizure disorder\b'","Epilepsy","MESH:D004827","Neurological","High","epilepsy","Epilepsy","Epilepsy","Epilepsy, Partial, Sensory"
"498","MESH:D020938","r'\bfocal clonic seizures\b', r'\bfocal motor epilepsy\b', r'\bhemimotor epilepsy\b', r'\bmotor partial epilepsy\b', r'\bmotor partial seizure disorder\b', r'\bhemimotor seizure disorder\b', r'\bmotor seizure disorder\b', r'\bhemimotor seizure disorders\b', r'\bmotor seizure disorders\b', r'\bfocal clonic seizure\b', r'\bversive seizures\b', r'\bversive seizure\b', r'\bfocal tonic seizure\b', r'\bfocal tonic seizures\b', r'\bhemimotor epilepsies\b'","Epilepsy","MESH:D004827","Neurological","High","epilepsy","Epilepsy","Epilepsy","Epilepsy, Partial, Motor"
"483","MESH:D020329","r'\bbenign essential tremor\b', r'\bbenign essential tremors\b', r'\bessential tremor\b', r'\bfamilial tremor\b', r'\bessential tremors\b', r'\bfamilial tremors\b', r'\bhereditary essential tremor\b'","Essential Tremor","MESH:D020329","Neurological","High","essential_tremor","Essential Tremor","Essential Tremor","Essential Tremor"
"138","MESH:D005234","r'\bfatty liver\b', r'\bliver steatoses\b', r'\bvisceral steatoses\b', r'\bliver steatosis\b', r'\bvisceral steatosis\b', r'\bsteatohepatitides\b', r'\bsteatohepatitis\b', r'\bsteatosis of liver\b'","Fatty Liver","MESH:D005234","Digestive","High","fatty_liver","Fatty Liver","Fatty Liver","Fatty Liver"
"566","MESH:D065626","r'\bnonalcoholic fatty liver disease\b', r'\bnonalcoholic fatty liver\b', r'\bnonalcoholic fatty livers\b', r'\bnonalcoholic steatohepatitides\b', r'\bnonalcoholic steatohepatitis\b', r'\bnon alcoholic fatty liver disease\b'","Fatty Liver","MESH:D005234","Digestive","High","fatty_liver","Fatty Liver","Fatty Liver","Non-alcoholic Fatty Liver Disease"
"3","MESH:D000071380","r'\bplantar fibromatosis\b', r'\bledderhose disease\b', r'\bledderhoses disease\b'","Fibromatosis","MESH:D005350","Musculoskeletal","High","fibromatosis","Fibromatoses","Fibroma","Fibromatosis, Plantar"
"116","MESH:D004387","r'\bdupuytren contracture\b', r'\bdupuytrens contracture\b', r'\bpalmar fibromatosis\b', r'\bfamilial plantar fibromatosis\b', r'\bdupuytren contracture 1\b', r'\bdupuytren disease\b', r'\bdupuytrens disease\b', r'\bplantar fibromas\b'","Fibromatosis","MESH:D005350","Musculoskeletal","High","fibromatosis","Fibromatoses","Fibroma","Dupuytren Contracture"
"143","MESH:D005350","r'\bfibromas\b', r'\bfibromatoses\b', r'\bfibromatosis\b', r'\bfibromyxoma\b', r'\bfibromyxomas\b', r'\bmyxofibroma\b', r'\bmyxofibromas\b', r'\bfibroma\b'","Fibromatosis","MESH:D005350","Musculoskeletal","High","fibromatosis","Fibromatoses","Fibroma","Fibroma"
"449","MESH:D018214","r'\bossifying fibromas\b', r'\bossifying fibroma\b'","Fibromatosis","MESH:D005350","Musculoskeletal","High","fibromatosis","Fibromatoses","Fibroma","Fibroma, Ossifying"
"450","MESH:D018220","r'\bdesmoplastic fibroblastoma\b', r'\bcollagenous fibroma\b', r'\bdesmoplastic fibroma\b', r'\bcollagenous fibromas\b', r'\bdesmoplastic fibroblastomas\b', r'\bdesmoplastic fibromas\b'","Fibromatosis","MESH:D005350","Musculoskeletal","High","fibromatosis","Fibromatoses","Fibroma","Fibroma, Desmoplastic"
"451","MESH:D018221","r'\babdominal fibromatoses\b', r'\babdominal fibromatosis\b'","Fibromatosis","MESH:D005350","Musculoskeletal","High","fibromatosis","Fibromatoses","Fibroma","Fibromatosis, Abdominal"
"452","MESH:D018222","r'\baggressive fibromatoses\b', r'\baggressive fibromatosis\b', r'\bdesmoid\b', r'\bdesmoids\b'","Fibromatosis","MESH:D005350","Musculoskeletal","High","fibromatosis","Fibromatoses","Fibroma","Fibromatosis, Aggressive"
"141","MESH:D005265","r'\bfemoral neck fracture\b', r'\bfemur neck fracture\b', r'\bfemur neck fractures\b', r'\bfemoral neck fractures\b'","Fracture, Hip","MESH:D006620","Musculoskeletal","High","frac_hip","Fracture - hip","Hip Fractures","Femoral Neck Fractures"
"175","MESH:D006620","r'\bhip fractures\b', r'\bintertrochanteric fractures\b', r'\bsubtrochanteric fractures\b', r'\btrochanteric fractures\b'","Fracture, Hip","MESH:D006620","Musculoskeletal","High","frac_hip","Fracture - hip","Hip Fractures","Hip Fractures"
"90","MESH:D003100","r'\bcolles fracture\b'","Fracture, Wrist","MESH:D014458","Musculoskeletal","High","frac_wrist","Fracture - wrist","Ulna Fractures","Colles' Fracture"
"300","MESH:D011885","r'\bradius fracture\b', r'\bradius fractures\b'","Fracture, Wrist","MESH:D014458","Musculoskeletal","High","frac_wrist","Fracture - wrist","Ulna Fractures","Radius Fractures"
"358","MESH:D014458","r'\bulna fractures\b', r'\bulna fracture\b'","Fracture, Wrist","MESH:D011885","Musculoskeletal","High","frac_wrist","Fracture - wrist","Radius Fractures","Ulna Fractures"
"243","MESH:D009181","r'\bfungal disease\b', r'\bfungus disease\b', r'\bfungal diseases\b', r'\bfungus diseases\b', r'\bfungal infection\b', r'\bfungus infection\b', r'\bfungal infections\b', r'\bfungus infections\b', r'\bmycoses\b'","Fungal Infection","MESH:D009181","Infections","High","id_mycoses","Fungal Infection","Mycoses","Mycoses"
"413","MESH:D016469","r'\bfungemias\b', r'\bfungemia\b'","Fungal Infection","MESH:D009181","Infections","High","id_mycoses","Fungal Infection","Mycoses","Fungemia"
"145","MESH:D005756","r'\bgastritides\b', r'\bgastritis\b'","Gastritis","MESH:D005756","Digestive","High","gastritis","Gastritis","Gastritis","Gastritis"
"146","MESH:D005757","r'\batrophic gastritides\b', r'\batrophic gastritis\b'","Gastritis","MESH:D005756","Digestive","High","gastritis","Gastritis","Gastritis","Gastritis, Atrophic"
"147","MESH:D005758","r'\bmenetrier disease\b', r'\bmenetriers disease\b', r'\bfamilial giant hypertrophic gastritis\b', r'\bgiant hypertrophic gastritis\b', r'\bhypertrophic gastritis\b'","Gastritis","MESH:D005756","Digestive","High","gastritis","Gastritis","Gastritis","Gastritis, Hypertrophic"
"149","MESH:D005764","r'\bgastric acid reflux\b', r'\bpediatric gastroesophageal reflux\b', r'\bgastroesophageal reflux\b', r'\bgastro esophageal reflux\b', r'\bgastro oesophageal reflux\b', r'\besophageal reflux\b', r'\bgastric acid reflux disease\b', r'\bgastroesophageal reflux disease\b'","Gastro-oesophageal Reflux Disease","MESH:D005764","Digestive","High","gord","Gastro-oesophageal reflux disease","Gastroesophageal Reflux","Gastroesophageal Reflux"
"548","MESH:D057045","r'\bsupraesophageal gastric reflux\b', r'\blaryngopharyngeal reflux\b', r'\bgastric regurgitation\b'","Gastro-oesophageal Reflux Disease","MESH:D005764","Digestive","High","gord","Gastro-oesophageal reflux disease","Gastroesophageal Reflux","Laryngopharyngeal Reflux"
"344","MESH:D013700","r'\bgiant cell aortic arteritis\b', r'\bgiant cell aortitides\b', r'\bgiant cell aortitis\b', r'\bcranial arteritides\b', r'\bgiant cell arteritides\b', r'\bjuvenile temporal arteritides\b', r'\btemporal arteritides\b', r'\bcranial arteritis\b', r'\bgiant cell arteritis\b', r'\bjuvenile temporal arteritis\b', r'\btemporal arteritis\b', r'\bhortons giant cell aortitis\b', r'\bhorton giant cell arteritis\b', r'\bhorton disease\b', r'\bhortons disease\b', r'\bhortons giant cell arteritis\b'","Giant Cell Arteritis","MESH:D013700","Musculoskeletal","High","gca","Giant Cell arteritis","Giant Cell Arteritis","Giant Cell Arteritis"
"150","MESH:D005901","r'\bglaucomas\b', r'\bglaucoma\b'","Glaucoma","MESH:D005901","Eye","High","glaucoma","Glaucoma","Glaucoma","Glaucoma"
"151","MESH:D005902","r'\bcompensated glaucoma\b', r'\bcompensative glaucoma\b', r'\bopen angle glaucoma\b', r'\bpigmentary glaucoma\b', r'\bprimary open angle glaucoma\b', r'\bsecondary open angle glaucoma\b', r'\bsimple glaucoma\b', r'\bglaucoma simplex\b', r'\bglaucoma simplices\b', r'\bchronic primary open angle glaucoma\b', r'\bopen angle glaucomas\b'","Glaucoma","MESH:D005901","Eye","High","glaucoma","Glaucoma","Glaucoma","Glaucoma, Open-Angle"
"397","MESH:D015812","r'\bangle closure glaucoma\b', r'\bclosed angle glaucoma\b', r'\bnarrow angle glaucoma\b', r'\bangle closure glaucomas\b', r'\bclosed angle glaucomas\b', r'\bnarrow angle glaucomas\b', r'\buncompensated glaucomas\b', r'\buncompensative glaucomas\b', r'\buncompensated glaucoma\b', r'\buncompensative glaucoma\b'","Glaucoma","MESH:D005901","Eye","High","glaucoma","Glaucoma","Glaucoma","Glaucoma, Angle-Closure"
"549","MESH:D057066","r'\blow tension glaucoma\b', r'\bnormal tension glaucoma\b', r'\blow tension glaucomas\b', r'\bnormal tension glaucomas\b'","Glaucoma","MESH:D005901","Eye","High","glaucoma","Glaucoma","Glaucoma","Low Tension Glaucoma"
"152","MESH:D005921","r'\bkidney scarring\b', r'\bbright disease\b', r'\bglomerulonephritides\b', r'\bglomerulonephritis\b'","Glomerulonephritis","MESH:D005921","Genitourinary","High","gn","Glomerulonephritis","Glomerulonephritis","Glomerulonephritis"
"153","MESH:D005922","r'\biga glomerulonephritides\b', r'\biga type nephritis\b', r'\biga nephropathy\b', r'\bimmunoglobulin a nephropathy\b', r'\biga glomerulonephritis\b', r'\bberger disease\b', r'\bbergers disease\b', r'\biga nephropathy 1\b'","Glomerulonephritis","MESH:D005921","Genitourinary","High","gn","Glomerulonephritis","Glomerulonephritis","Glomerulonephritis, IGA"
"154","MESH:D005923","r'\bnondiabetic end stage renal disease\b', r'\bsegmental glomerular hyalinosis\b', r'\bfocal sclerosing glomerulonephritides\b', r'\bfocal sclerosing glomerulonephritis\b', r'\bfocal glomerulosclerosis\b', r'\bsegmental hyalinosis\b', r'\bfocal segmental glomerulosclerosis\b', r'\bfocal segmental glomerulosclerosis 1\b', r'\bfocal segmental glomerulosclerosis 3\b', r'\bfocal segmental glomerulosclerosis 4\b', r'\bfocal segmental glomerulosclerosis 6\b', r'\bfocal segmental glomerulosclerosis 7\b', r'\bfocal segmental glomerulosclerosis 8\b', r'\bfocal segmental glomerulosclerosis 9\b'","Glomerulonephritis","MESH:D005921","Genitourinary","High","gn","Glomerulonephritis","Glomerulonephritis","Glomerulosclerosis, Focal Segmental"
"225","MESH:D008181","r'\blupus glomerulonephritides\b', r'\blupus glomerulonephritis\b', r'\blupus nephritides\b', r'\blupus nephritis\b'","Glomerulonephritis","MESH:D005921","Genitourinary","High","gn","Glomerulonephritis","Glomerulonephritis","Lupus Nephritis"
"383","MESH:D015432","r'\bhypocomplementemic glomerulonephritides\b', r'\bmembranoproliferative glomerulonephritides\b', r'\bmesangiocapillary glomerulonephritides\b', r'\bhypocomplementemic glomerulonephritis\b', r'\bmesangiocapillary glomerulonephritis\b', r'\bsubendothelial membranoproliferative glomerulonephritis\b', r'\btype i membranoproliferative glomerulonephritis\b', r'\btype ii membranoproliferative glomerulonephritis\b', r'\btype iii membranoproliferative glomerulonephritis\b', r'\btype i mesangiocapillary glomerulonephritis\b', r'\btype ii mesangiocapillary glomerulonephritis\b', r'\bmembranoproliferative glomerulonephritis\b', r'\bddd mpgnii\b', r'\bdense deposit disease\b', r'\bmembranoproliferative glomerulonephritis type ii\b', r'\btype ii mpgn\b'","Glomerulonephritis","MESH:D005921","Genitourinary","High","gn","Glomerulonephritis","Glomerulonephritis","Glomerulonephritis, Membranoproliferative"
"473","MESH:D019867","r'\bgoodpasture syndrome\b', r'\bgoodpastures syndrome\b', r'\banti gbm disease\b', r'\banti glomerular basement membrane disease\b', r'\blung purpura with nephritis\b'","Glomerulonephritis","MESH:D005921","Genitourinary","High","gn","Glomerulonephritis","Glomerulonephritis","Anti-Glomerular Basement Membrane Disease"
"158","MESH:D006073","r'\bgouts\b', r'\bgout\b'","Gout","MESH:D006073","Musculoskeletal","High","gout","Gout","Gout","Gout"
"379","MESH:D015210","r'\bgouty arthritides\b', r'\bgouty arthritis\b'","Gout","MESH:D006073","Musculoskeletal","High","gout","Gout","Gout","Arthritis, Gouty"
"160","MESH:D006333","r'\bheart decompensation\b', r'\bcongestive heart failure\b', r'\bleft sided heart failure\b', r'\bright sided heart failure\b', r'\bcardiac failure\b', r'\bmyocardial failure\b', r'\bheart failure\b'","Heart Failure","MESH:D006333","Cardiovascular","High","hf","Heart failure","Heart Failure","Heart Failure"
"527","MESH:D054143","r'\bsystolic heart failures\b', r'\bsystolic heart failure\b'","Heart Failure","MESH:D006333","Cardiovascular","High","hf","Heart failure","Heart Failure","Heart Failure, Systolic"
"528","MESH:D054144","r'\bdiastolic heart failures\b', r'\bdiastolic heart failure\b'","Heart Failure","MESH:D006333","Cardiovascular","High","hf","Heart failure","Heart Failure","Heart Failure, Diastolic"
"559","MESH:D059347","r'\bcardiorenal syndrome\b', r'\bcardio renal syndrome\b', r'\brenocardiac syndrome\b', r'\breno cardiac syndrome\b', r'\bcardiorenal syndromes\b', r'\bcardio renal syndromes\b', r'\brenocardiac syndromes\b', r'\breno cardiac syndromes\b'","Heart Failure","MESH:D006333","Cardiovascular","High","hf","Heart failure","Heart Failure","Cardio-Renal Syndrome"
"177","MESH:D006848","r'\bscrotal hydrocele\b', r'\bscrotal hydroceles\b', r'\btesticular hydroceles\b', r'\bvaginal hydroceles\b', r'\btesticular hydrocele\b', r'\bvaginal hydrocele\b'","Hydrocele","MESH:D006848","Genitourinary","High","hydrocele","Hydrocoele","Testicular Hydrocele","Testicular Hydrocele"
"181","MESH:D006961","r'\bhyperparathyroidism\b'","Hyperparathyroidism","MESH:D006961","Endocrine","High","pth","Hyperparathyroidism","Hyperparathyroidism","Hyperparathyroidism"
"182","MESH:D006962","r'\bsecondary hyperparathyroidisms\b', r'\bsecondary hyperparathyroidism\b'","Hyperparathyroidism","MESH:D006961","Endocrine","High","pth","Hyperparathyroidism","Hyperparathyroidism","Hyperparathyroidism, Secondary"
"517","MESH:D049950","r'\bprimary hyperparathyroidisms\b', r'\bprimary hyperparathyroidism\b'","Hyperparathyroidism","MESH:D006961","Endocrine","High","pth","Hyperparathyroidism","Hyperparathyroidism","Hyperparathyroidism, Primary"
"183","MESH:D006971","r'\bsplenic anemia\b', r'\bsplenic anemias\b', r'\bhypersplenism\b'","Hypersplenism","MESH:D006971","Haematological/ Immuunoligcal","High","hypersplenism","Hypersplenism","Hypersplenism","Hypersplenism"
"10","MESH:D000075222","r'\bessential hypertension\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Essential Hypertension"
"119","MESH:D004461","r'\beclampsias\b', r'\beclampsia\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Eclampsia"
"184","MESH:D006973","r'\bhigh blood pressure\b', r'\bhigh blood pressures\b', r'\bhypertension\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Hypertension"
"185","MESH:D006974","r'\bmalignant hypertension\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Hypertension, Malignant"
"189","MESH:D006977","r'\brenal hypertensions\b', r'\brenal hypertension\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Hypertension, Renal"
"190","MESH:D006978","r'\bgoldblatt hypertension\b', r'\bgoldblatt syndrome\b', r'\brenovascular hypertension\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Hypertension, Renovascular"
"513","MESH:D046110","r'\bgestational hypertension\b', r'\bpregnancy induced hypertension\b', r'\bpregnancy transient hypertension\b', r'\bpregnancy induced hypertensions\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Hypertension, Pregnancy-Induced"
"554","MESH:D058437","r'\bhypertensive retinopathies\b', r'\bhypertensive retinopathy\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","Hypertensive Retinopathy"
"561","MESH:D059466","r'\bisolated clinic hypertension\b', r'\bwhite coat hypertension\b', r'\bwhite coat syndrome\b'","Hypertension","MESH:D006973","Cardiovascular","High","htn","Hypertension","Hypertension","White Coat Hypertension"
"76","MESH:D002312","r'\bhypertrophic cardiomyopathies\b', r'\bhypertrophic obstructive cardiomyopathies\b', r'\bhypertrophic obstructive cardiomyopathy\b', r'\bhypertrophic cardiomyopathy\b'","Hypertrophic cardiomyopathy","MESH:D002312","Cardiovascular","High","hocm","Hypertrophic Cardiomyopathy","Cardiomyopathy, Hypertrophic","Cardiomyopathy, Hypertrophic"
"501","MESH:D024741","r'\bfamilial asymmetric septal hypertrophy\b', r'\bfamilial hypertrophic cardiomyopathies\b', r'\bfamilial hypertrophic cardiomyopathy\b', r'\bidiopathic hypertrophic subaortic stenosis\b', r'\bhereditary ventricular hypertrophies\b', r'\bfamilial ventricular hypertrophy\b', r'\bhereditary ventricular hypertrophy\b', r'\bfamilial ventricular hypertrophies\b', r'\bobstructive asymmetric septal hypertrophy\b'","Hypertrophic cardiomyopathy","MESH:D002312","Cardiovascular","High","hocm","Hypertrophic Cardiomyopathy","Cardiomyopathy, Hypertrophic","Cardiomyopathy, Hypertrophic, Familial"
"53","MESH:D001850","r'\binfectious bone disease\b', r'\binfectious bone diseases\b'","Infection, Bone","MESH:D001850","Infections","High","id_bone","Infection - Bone","Bone Diseases, Infectious","Bone Diseases, Infectious"
"260","MESH:D010019","r'\bosteomyelitides\b', r'\bosteomyelitis\b'","Infection, Bone","MESH:D001850","Infections","High","id_bone","Infection - Bone","Bone Diseases, Infectious","Osteomyelitis"
"275","MESH:D010522","r'\bperiostitides\b', r'\bperiostitis\b'","Infection, Bone","MESH:D001850","Infections","High","id_bone","Infection - Bone","Bone Diseases, Infectious","Periostitis"
"329","MESH:D013166","r'\bspondylitides\b', r'\bspondylitis\b'","Infection, Bone","MESH:D001850","Infections","High","id_bone","Infection - Bone","Bone Diseases, Infectious","Spondylitis"
"381","MESH:D015299","r'\bdiscitides\b', r'\bdiskitides\b', r'\bdiskitis\b', r'\bspondylodiscitides\b', r'\bspondylodiscitis\b', r'\bspondylodiskitides\b', r'\bspondylodiskitis\b', r'\bdiscitis\b'","Infection, Bone","MESH:D001850","Infections","High","id_bone","Infection - Bone","Bone Diseases, Infectious","Discitis"
"89","MESH:D003092","r'\bcolitides\b', r'\bcolitis\b'","Infection, Digestive System","MESH:D005759","Infections","High","id_digestive","Infection - Digestive system","Gastroenteritis","Colitis"
"117","MESH:D004403","r'\binfectious diarrheal disease\b', r'\binfectious diarrheal diseases\b', r'\bdysentery\b'","Infection, Digestive System","MESH:D005759","Infections","High","id_digestive","Infection - Digestive system","Gastroenteritis","Dysentery"
"118","MESH:D004404","r'\bintestinal amebiases\b', r'\bintestinal amebiasis\b', r'\bintestinal amoebiases\b', r'\bintestinal amoebiasis\b', r'\bamebic colitides\b', r'\bamoebic colitides\b', r'\bamebic colitis\b', r'\bamoebic colitis\b', r'\bamebic dysenteries\b', r'\bamoebic dysenteries\b', r'\bamoebic dysentery\b', r'\bintestinal entamoebiases\b', r'\bintestinal entamoebiasis\b', r'\bamebic dysentery\b', r'\bintestinal entamoeba histolytica infection\b'","Infection, Digestive System","MESH:D005759","Infections","High","id_digestive","Infection - Digestive system","Gastroenteritis","Dysentery, Amebic"
"125","MESH:D004751","r'\benteritides\b', r'\benteritis\b'","Infection, Digestive System","MESH:D005759","Infections","High","id_digestive","Infection - Digestive system","Gastroenteritis","Enteritis"
"148","MESH:D005759","r'\bgastroenteritides\b', r'\bgastroenteritis\b'","Infection, Digestive System","MESH:D005759","Infections","High","id_digestive","Infection - Digestive system","Gastroenteritis","Gastroenteritis"
"444","MESH:D017688","r'\bsummer choleras\b', r'\bsummer cholera\b', r'\bcholera morbus\b'","Infection, Digestive System","MESH:D005759","Infections","High","id_digestive","Infection - Digestive system","Gastroenteritis","Cholera Morbus"
"94","MESH:D003234","r'\bbacterial conjunctivitides\b', r'\bmucopurulent conjunctivitides\b', r'\bpurulent conjunctivitides\b', r'\bmucopurulent conjunctivitis\b', r'\bpurulent conjunctivitis\b', r'\bbacterial conjunctivitis\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Conjunctivitis, Bacterial"
"95","MESH:D003236","r'\bviral conjunctivitides\b', r'\bviral conjunctivitis\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Conjunctivitis, Viral"
"174","MESH:D006563","r'\bocular herpes zoster\b', r'\bherpes zoster ophthalmicus\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Herpes Zoster Ophthalmicus"
"176","MESH:D006726","r'\bstye\b', r'\bstyes\b', r'\bhordeolum\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Hordeolum"
"204","MESH:D007639",NA,"Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Keratoconjunctivitis, Infectious"
"355","MESH:D014126","r'\bocular toxoplasmoses\b', r'\bocular toxoplasmosis\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Toxoplasmosis, Ocular"
"356","MESH:D014141","r'\begyptian ophthalmia\b', r'\btrachomas\b', r'\btrachoma\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Trachoma"
"398","MESH:D015817","r'\beye infection\b', r'\bocular infection\b', r'\beye infections\b', r'\bocular infections\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Eye Infections"
"399","MESH:D015818","r'\bbacterial eye infection\b', r'\bbacterial ocular infection\b', r'\bbacterial eye infections\b', r'\bbacterial ocular infections\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Eye Infections, Bacterial"
"400","MESH:D015821","r'\bfungal eye infection\b', r'\bfungal ocular infection\b', r'\bocular mycotic infection\b', r'\bfungal eye infections\b', r'\bfungal ocular infections\b', r'\bocular mycotic infections\b', r'\bocular mycoses\b', r'\bocular mycosis\b', r'\boculomycoses\b', r'\boculomycosis\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Eye Infections, Fungal"
"401","MESH:D015822","r'\bparasitic eye infection\b', r'\bparasitic ocular infection\b', r'\bparasitic eye infections\b', r'\bparasitic ocular infections\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Eye Infections, Parasitic"
"403","MESH:D015828","r'\bviral eye infection\b', r'\bviral eye infections\b', r'\bviral ocular infections\b', r'\bviral ocular infection\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Eye Infections, Viral"
"425","MESH:D016849","r'\bocular herpes simplex\b', r'\bherpes simplex keratitides\b', r'\bherpetic keratitides\b', r'\bherpes simplex keratitis\b', r'\bherpetic keratitis\b'","Infection, Eye","MESH:D015817","Infections","High","id_eye","Infection - Eye","Eye Infections","Keratitis, Herpetic"
"122","MESH:D004697","r'\bbacterial endocarditides\b', r'\bbacterial endocarditis\b'","Infection, Heart","MESH:D004697","Infections","High","id_heart","Infection - Heart","Endocarditis, Bacterial","Endocarditis, Bacterial"
"123","MESH:D004698","r'\bsubacute bacterial endocarditides\b', r'\bsubacute bacterial endocarditis\b', r'\bendocarditis lenta\b'","Infection, Heart","MESH:D004697","Infections","High","id_heart","Infection - Heart","Endocarditis, Bacterial","Endocarditis, Subacute Bacterial"
"62","MESH:D001996","r'\bbronchial pneumonia\b', r'\bbronchial pneumonias\b', r'\bbronchopneumonias\b', r'\bbronchopneumonia\b'","Infection, Lower Respiratory Tract","MESH:D011014","Infections","High","id_lrti","Infection - Lower Respiratory Tract","Pneumonia","Bronchopneumonia"
"281","MESH:D011014","r'\bexperimental lung inflammation\b', r'\blung inflammation\b', r'\bpulmonary inflammation\b', r'\blung inflammations\b', r'\bpulmonary inflammations\b', r'\bexperimental lung inflammations\b', r'\blobar pneumonia\b', r'\blobar pneumonias\b', r'\bpneumonias\b', r'\bpneumonitides\b', r'\bpneumonitis\b', r'\bpneumonia\b'","Infection, Lower Respiratory Tract","MESH:D011014","Infections","High","id_lrti","Infection - Lower Respiratory Tract","Pneumonia","Pneumonia"
"283","MESH:D011018","r'\bpneumococcal pneumonias\b', r'\bpneumococcal pneumonia\b'","Infection, Lower Respiratory Tract","MESH:D011014","Infections","High","id_lrti","Infection - Lower Respiratory Tract","Pneumonia","Pneumonia, Pneumococcal"
"284","MESH:D011019","r'\bprimary atypical pneumonia\b', r'\bprimary atypical pneumonias\b', r'\bmycoplasma pneumonias\b', r'\bmycoplasma pneumonia\b', r'\bmycoplasma dispar infection\b', r'\bmycoplasma dispar infections\b', r'\bmycoplasma ovipneumoniae infection\b', r'\bmycoplasma ovipneumoniae infections\b', r'\bmycoplasma pneumoniae infection\b', r'\bmycoplasma pneumoniae infections\b'","Infection, Lower Respiratory Tract","MESH:D011014","Infections","High","id_lrti","Infection - Lower Respiratory Tract","Pneumonia","Pneumonia, Mycoplasma"
"285","MESH:D011020","r'\bpcp infection\b', r'\binterstitial plasma cell pneumonia\b', r'\bpneumocystis carinii pneumonia\b', r'\bpneumocystis jirovecii pneumonia\b', r'\bpneumocystis pneumonia\b', r'\bpcp infections\b', r'\bpneumocystis pneumonias\b', r'\bpneumocystoses\b', r'\bpneumocystosis\b'","Infection, Lower Respiratory Tract","MESH:D011014","Infections","High","id_lrti","Infection - Lower Respiratory Tract","Pneumonia","Pneumonia, Pneumocystis"
